number,old_filename,new_filename,old_path,new_path,applied_at
1,A_11.png,A_11-raghava-kk-photo-01.png,/Users/raghavakalyanaraman/Downloads/images for website/A_11.png,/Users/raghavakalyanaraman/Downloads/images for website/A_11-raghava-kk-photo-01.png,2026-05-11T11:46:32
2,A_14.jpg,A_14-raghava-kk-photo-02.jpg,/Users/raghavakalyanaraman/Downloads/images for website/A_14.jpg,/Users/raghavakalyanaraman/Downloads/images for website/A_14-raghava-kk-photo-02.jpg,2026-05-11T11:46:32
3,A_2.jpg,A_2-raghava-kk-photo-03.jpg,/Users/raghavakalyanaraman/Downloads/images for website/A_2.jpg,/Users/raghavakalyanaraman/Downloads/images for website/A_2-raghava-kk-photo-03.jpg,2026-05-11T11:46:32
4,A_3.jpg,A_3-raghava-kk-lying-on-liberty-guernica.jpg,/Users/raghavakalyanaraman/Downloads/images for website/A_3.jpg,/Users/raghavakalyanaraman/Downloads/images for website/A_3-raghava-kk-lying-on-liberty-guernica.jpg,2026-05-11T11:46:32
5,A_5.jpg,A_5-raghava-kk-photo-04.jpg,/Users/raghavakalyanaraman/Downloads/images for website/A_5.jpg,/Users/raghavakalyanaraman/Downloads/images for website/A_5-raghava-kk-photo-04.jpg,2026-05-11T11:46:32
6,A_6.HEIC,A_6-raghava-kk-photo-05.HEIC,/Users/raghavakalyanaraman/Downloads/images for website/A_6.HEIC,/Users/raghavakalyanaraman/Downloads/images for website/A_6-raghava-kk-photo-05.HEIC,2026-05-11T11:46:32
8,B-6.png,B-6-9-11-cartoon-2001.png,/Users/raghavakalyanaraman/Downloads/images for website/B-6.png,/Users/raghavakalyanaraman/Downloads/images for website/B-6-9-11-cartoon-2001.png,2026-05-11T11:46:32
9,B_1.jpg,B_1-atal-bihari-vajpayee-caricature-1998.jpg,/Users/raghavakalyanaraman/Downloads/images for website/B_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/B_1-atal-bihari-vajpayee-caricature-1998.jpg,2026-05-11T11:46:32
10,B_7.jpg,B_7-raghava-kk-teaching-cartooning-children-essaouira-morocco.jpg,/Users/raghavakalyanaraman/Downloads/images for website/B_7.jpg,/Users/raghavakalyanaraman/Downloads/images for website/B_7-raghava-kk-teaching-cartooning-children-essaouira-morocco.jpg,2026-05-11T11:46:32
11,C-1.jpg,C-1-raghava-kk-backpacking-through-europe-rome.jpg,/Users/raghavakalyanaraman/Downloads/images for website/C-1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/C-1-raghava-kk-backpacking-through-europe-rome.jpg,2026-05-11T11:46:32
17,E_1.jpg,E_1-not-allowed-to-cry-birlas-book-cover-raghava-kk.jpg,/Users/raghavakalyanaraman/Downloads/images for website/E_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/E_1-not-allowed-to-cry-birlas-book-cover-raghava-kk.jpg,2026-05-11T11:46:32
18,F_1.jpg,F_1-robin-hood-foundation-library-raghava-art-01.jpg,/Users/raghavakalyanaraman/Downloads/images for website/F_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/F_1-robin-hood-foundation-library-raghava-art-01.jpg,2026-05-11T11:46:32
19,F_2.jpg,F_2-robin-hood-foundation-library-raghava-art-02.jpg,/Users/raghavakalyanaraman/Downloads/images for website/F_2.jpg,/Users/raghavakalyanaraman/Downloads/images for website/F_2-robin-hood-foundation-library-raghava-art-02.jpg,2026-05-11T11:46:32
20,F_4.jpg,F_4-robin-hood-foundation-library-raghava-art-03.jpg,/Users/raghavakalyanaraman/Downloads/images for website/F_4.jpg,/Users/raghavakalyanaraman/Downloads/images for website/F_4-robin-hood-foundation-library-raghava-art-03.jpg,2026-05-11T11:46:32
21,G_1.jpg,G_1-anthropomorphisms-when-paintings-dance-first-test-cambridge-massachusetts.jpg,/Users/raghavakalyanaraman/Downloads/images for website/G_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/G_1-anthropomorphisms-when-paintings-dance-first-test-cambridge-massachusetts.jpg,2026-05-11T11:46:32
22,G_4.jpg,G_4-anthropomorphisms-when-paintings-dance-aif-performance-california.jpg,/Users/raghavakalyanaraman/Downloads/images for website/G_4.jpg,/Users/raghavakalyanaraman/Downloads/images for website/G_4-anthropomorphisms-when-paintings-dance-aif-performance-california.jpg,2026-05-11T11:46:32
23,G_5.jpg,G_5-anthropomorphisms-when-paintings-dance-cambridge-massachusetts.jpg,/Users/raghavakalyanaraman/Downloads/images for website/G_5.jpg,/Users/raghavakalyanaraman/Downloads/images for website/G_5-anthropomorphisms-when-paintings-dance-cambridge-massachusetts.jpg,2026-05-11T11:46:32
24,G_6.jpg,G_6-anthropomorphisms-when-paintings-dance-bangalore-kamal-haasan-taj-west-end.jpg,/Users/raghavakalyanaraman/Downloads/images for website/G_6.jpg,/Users/raghavakalyanaraman/Downloads/images for website/G_6-anthropomorphisms-when-paintings-dance-bangalore-kamal-haasan-taj-west-end.jpg,2026-05-11T11:46:32
25,Guernica for the Siri-ocene (High Resolution).jpg,Guernica for the Siri-ocene (High Resolution)-guernica-for-the-siri-ocene-high-resolution.jpg,/Users/raghavakalyanaraman/Downloads/images for website/Guernica for the Siri-ocene (High Resolution).jpg,/Users/raghavakalyanaraman/Downloads/images for website/Guernica for the Siri-ocene (High Resolution)-guernica-for-the-siri-ocene-high-resolution.jpg,2026-05-11T11:46:32
26,H_1.jpg,H_1-raghava-kk-meets-benazir-bhutto-harvard-university-cambridge.jpg,/Users/raghavakalyanaraman/Downloads/images for website/H_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/H_1-raghava-kk-meets-benazir-bhutto-harvard-university-cambridge.jpg,2026-05-11T11:46:32
